Drink,Year,Month,Winner,Milk,Tea,Diet
Canada Dry Mandarin Orange Sparkling Water,2017,7,0,0,0,0
Fuze Tea With Lemon,2017,7,0,0,1,0
La Croix Curate Sparkling Water Cerise Limon Cherry Lime,2017,7,1,0,0,0
"LaCroix Sparkling Water, Coconut",2017,7,0,0,0,0
Arizona Lite Arnold Palmer Iced Tea Lemonade,2017,8,1,0,1,0
V8 Original Juice,2017,8,0,0,0,0
Gatorade (Assorted),2017,8,0,0,0,0
Nesquik Strawberry Lowfat Milk,2017,8,0,1,0,1
Izze Fusion Strawberry-Melon,2017,9,1,0,0,0
Welch's Mango Pineapple,2017,9,0,0,0,0
Sparkling Ice Black Raspberry,2017,9,0,0,0,0
Polar Blueberry Lemonade,2017,9,0,0,0,0
Honest Fizz Root Beer,2017,10,0,0,0,0
Welch's Grape Juice,2017,10,0,0,0,0
Chocolate Soy or Almond Milk,2017,10,1,1,0,0
LaCroix Orange,2017,10,0,0,0,0
Cranberry Juice Cocktail,2017,11,0,0,0,0
La Croix Grapefruit,2017,11,1,0,0,0
Diet Dr Pepper,2017,11,0,0,0,1
Hansen's Gingle Ale,2017,11,0,0,0,0
Dole's Pineapple Juice,2017,12,0,0,0,0
La Croix Coconut,2017,12,0,0,0,0
Coke Zero - Vanilla,2017,12,0,0,0,1
San Pellegrino Pomegranate Orange,2017,12,1,0,0,0
Ocean Spray Original Ruby Red Grapefruit Juice,2018,1,1,0,0,0
Diet 7-Up,2018,1,0,0,0,1
Raspberry-Pink Lemonade Seltzer-ade,2018,1,0,0,0,0
Iced Citrus Green Tea – Diet,2018,1,0,0,1,1
V8 Tomato Juice,2018,2,0,0,0,1
Perrier Sparkling Mineral Water L’Orange,2018,2,1,0,0,0
Arizona Green Tea with Ginseng and Honey,2018,2,0,0,1,0
Seagrams’s Ginger Ale,2018,2,0,0,0,0
Lipton Brisk Iced Tea ,2017,3,0,0,1,0
Nesquik Strawberry Milk ,2018,3,1,1,0,0
Juicy Juice Berry Cherry,2018,3,0,0,0,0
Fresca Peach ,2018,3,0,0,0,0
